Imagem,Area_da_lesao,Area_folha,Porcentagem_infectado
cul_24_ad1,44960,48014,6.36
cul_24_ad2,46057,48405,4.85
cul_24_ad3,41451,55864,25.8
cul_25_ad1,27669,30142,8.2
cul_25_ad2,31446,33716,6.73
cul_25_ad3,31995,35000,8.59
cul_33_ad1,8068,45035,82.09
cul_33_ad2,8218,55994,85.32
cul_33_ad3,1828,48585,96.24
cul_42_ad2,55023,58476,5.9
cul_42_ad3,53126,56076,5.26
cul_46_ad1,8218,55994,85.32
cul_46_ad2,31014,56407,45.02
cul_46_ad3,2631,57805,95.45
